"""Add support for GCM cipher suitesThe current list of cipher suites leaves out the GCM cipher suites, which are more secure than the CBC cipher suites, as they avoid the inherent issues with verifying padding.  In fact, HTTP/2 explicitly forbids non-AEAD cipher suites.  k-9 is the largest user of non-GCM cipher suites on my network, so it would be nice if they could be added to the list.""",enhancement+,0
Suites perfect mobile e-mail management needs.,_,0
"""Unable to send messages to servers that don't support 8-bit encoding### Expected behaviourMessage should be delivered to outgoing mail server### Actual behaviourGet a """"failed to send message"""" error, message is put in drafts1. create message2. sendK-9 Mail version: 5.108Android version: 6.0.1Account type  imap (but this is only a send issue, retrieving mail works fine).[fail-to-send.txt](. This is against Rackspace's mail service -- secure.emailsrvr.com -- port 465 - ssl/tlsThey only support TLS1.0 and above. Picking up mail from their server works fine, as does the outgoing mail server test during setup/configuration. Did an upgrade to the 5.108 alpha on this device, and a re-install on samsung android 5.x devices, encountering the same issue on all. The same K-9 works fine sending to gmail, with basically the same outgoing mail server settings (465 - ssl/tls).""",bug+,1
Free. Stable. Honest. Works.,_,0
Works as should great mail app,_,0
"Ever since the last update .206 ""can't connect to outgoing server"". This makes it useless.",_,0
One of the best free mail clients for me because:  * no ads  * doesn't require any suspicious permissions  * works fine * all of above you get for free,_,0
Outgoing mail Fails Frequently outgoing mail's fail ..error 500 or something like that..hours trying no use..It stressed me lot..,_,0
Great Mail App Even works with apgp,_,0
Great app Works as expected very well written and I wish I can give you more stars good job.,_,0
Very easy email client to use Works fine on Android,_,0
"Works flawlessly with self-signed TLS1 certificates on my own IMAP server where old Gmail App refused to. User interface has good balance between familiarity -- it looks close enough to Gmail and customizability -- way more mail options are available for tweaking, it is possible to use client certificates instead of passwords.",_,0
"Efficient It works fine, easy setup. Great!",_,0
GREAT! K-9 works fine in Asus TF300. Still hoping that weekend turn off of specific accounts was possible!,_,0
Slow sending mail Love the app but lately it seems outgoing messages take forever to send. Even plain text email takes several minutes to send.,_,0
Good but currently screwed Works great generally but since last two updated can't send mail. Ssl changes have screwed it.,_,0
Simple but efficient Not a killing app but works fine and is open source.,_,0
Works! It just works as expected. Using it for years.,_,0
"Will not send messages I cannot send messages through this app, have to uninstall then reset up. Then there is a 20% chance it will work. When it does work, the next day or so it stops. Also, sending mail through other mail apps works fine. HTC1",_,0
Used to be great... This was my go to email client on Android until the recent SSL warning issues.  Have uninstalled it and am using stock email for now as it works correctly.  Hopefully they fix the SSL issue so it recognizes a valid SSL again.,_,0
"Works great (and I have yahoo account) Downloaded the app mid-dec 2014 and it works great with my Yahoo mail account. I decided to try K-9 because my android defat email client was REALLY frustrating (deleted emails would suddenly reappear). Never had problems with K-9, and when setting up my account it was able to know the incoming/outgoing yahoo server settings.",_,0
How to send mail in 5.001 In 5.001 I enabled Sending Mail by going to Account Settings - Sending mail - Outgoing mail - checking on 'require sign-in' and providing my email username and password.,_,0
"Loved it before the latest update. Now I can't send emails, but I can receive them. It seems to have corrupted my security data.  I have reloaded many times with no change. Incidentally the older program still works fine on my other phone. Do not update it or it may fail.",_,0
"Works great for me. Never had a problem, works fine with latest update on Kitkat Galaxy S5.",_,0
Excellent mail client. Works as advertised.,_,0
"Favorite mail program Last update blocked outgoing mail. I had to reset the outgoing mail server for ssl, that was it.  Great program!",_,0
Upgrade problems Had a major malfunction while traveling today  outgoing server jammed and whole section of inbox are gone.  Why didnt this get tested was a great ap...,_,0
"Works Using it for the last 2 years or so, never seen a hichup. If something works, does not worth changing. 5 stars, cheers.",_,0
Works great ... Works well for my multiple accounts,_,0
"K-9 works great It works flawlessly with KitKat. Very nice app, thanks developer(s).",_,0
"Strange choices with automatic setup but it works. Had a brief spot of trouble adding my mail account - until I noticed that for some reason it populated both incoming and outgoing server names with mail.<account.com> (Not telling you who my provider is lol.  Also unhappy that it chose the non SSL account setting by default, however changed these over simply enough and is now happily downloading mail from my account.  Don't like the different colours at the start of each message either, but appart from that it works.",_,0
"""Crash while moving messageReported via Google Play:```java.lang.RuntimeException: Failure delivering result ResultInfo{who=android:fragment:1, request=1, result=-1, data=Intent { (has extras) }} to activity {com.fsck.k9/com.fsck.k9.activity.MessageList}: java.lang.IllegalStateException: got an activity result that wasn't meant for us. this is a bug!    at android.app.ActivityThread.deliverResults(ActivityThread.java:3574)    at android.app.ActivityThread.handleSendResult(ActivityThread.java:3617)    at android.app.ActivityThread.access$1300(ActivityThread.java:151)    at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1352)    at android.os.Handler.dispatchMessage(Handler.java:102)    at android.os.Looper.loop(Looper.java:135)    at android.app.ActivityThread.main(ActivityThread.java:5254)    at java.lang.reflect.Method.invoke(Native Method)    at java.lang.reflect.Method.invoke(Method.java:372)    at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:904)    at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:699)    at de.robv.android.xposed.XposedBridge.main(XposedBridge.java:102)Caused by: java.lang.IllegalStateException: got an activity result that wasn't meant for us. this is a bug!    at com.fsck.k9.ui.messageview.MessageCryptoPresenter.onActivityResult(MessageCryptoPresenter.java:158)    at com.fsck.k9.ui.messageview.MessageViewFragment.onActivityResult(MessageViewFragment.java:405)    at android.app.Activity.dispatchActivityResult(Activity.java:6197)    at android.app.ActivityThread.deliverResults(ActivityThread.java:3570)    ... 11 more```User messages:- moved a message that was opened to a different folder.- Crash on moving opened email to another IMAP folder. Crash after selecting target folder.- crash at moving message to different folder. is consistent problem- tried to move a message to another folder, crash. happens wavy time I select move and a folder in the refile menu.""",bug+,0
This app has become useless with the new version of Android.  It does nothing but crash,_,0
Give a try and you won't regret. From the beginning at android OS I got to use this app. It Works very well and it is for free.,_,0
"""Display of random """"MSO"""" formatting text in HTMLSorry for the title - I didnt know how best to say it.  I am also guessing at the cause.  The best thing I can do is show you screen shots.The preface:I received an email.  On my K9 it looks awful but the same email when view using, for example Thunderbird, it displays all just fine.I have taken the source of the email, removed non-necessary headers (put there by Yahoo upon delivery), and redacted some links and detail for my privacy (hopefully!).  This attachment, when renamed to being .EML, shows the email as it was received.  (How you get this to display in your K9 test app I dont know but Im sure you have your ways).[MSOtest.txt](. Display clean HTML-based email.  As displayed in Thunderbird:![image](. As displayed in K9 Mail:Part 1:![image](. scroll down a bit, part 2:![image](. You can see it is full of .lines such as """"**mso-line-height-rule:exactly;line-height:20px; color:#666666;**""""1.  Get an email to display on your K9 Mail that contains the same message source as the attachment above.I make no judgement on the cause - you guys know more than me.K-9 Mail version:  5.203Android version:  4.2.1Account type   IMAP""",bug+,2
"Free & Open source email app. What more do you want!!! The best email app. It has all the useful features, customizable.",_,0
"The one and only and the best ever! No matter what, I can always rely on K9!",_,0
"It's generally good, very customizable, absolutely secure against email privacy and probably the best (ad) free email app out there but quite unreliable. I often lose mails that I sent away offline.",_,0
Best email app for most servers!,_,0
Best free software email app,_,0
Still the best email app in my book.  Wish you could get a truly integrated email app like this on pc.,_,0
"the attachment indicator is moved to email bottom, very inconvenient when the email is long.and we dont know there is attachment",_,0
Best email app there is. crazy fast.,_,0
"Great privacy oriented email client for all your email needs, even though the ui is a bit bland, k9 mail ticks all the checkboxes for a practical, functional email client for Android without invading your privacy",_,0
